title,genre,overview,vote_average
Teenage Mutant Ninja Turtles,"['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family']","A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.",6.6
Cherry,"['Drama', 'Crime']","Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",7.4
Ciao Alberto,"['Animation', 'Comedy', 'Family', 'Fantasy']","With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimo – the imposing, tattooed, one-armed fisherman of few words – who's quite possibly the coolest human in the entire world as far as Alberto is concerned. He wants more than anything to impress his mentor, but it's easier said than done.",7.5
Silip Sa Apoy,"['Drama', 'Thriller']",Take a peek at the life of an unhappy housewife who finds passionate love from her neighbor and how their affair brings them closer to fire.,6.1
The Hills Have Eyes 2,"['Horror', 'Thriller']",A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.,5.5
Kubo and the Two Strings,"['Animation', 'Adventure', 'Family']","Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",7.6
Attack on Titan II: End of the World,"['Horror', 'Science Fiction', 'Action', 'Fantasy']","Eren Yeager leaves to restore a break in the wall destroyed by a Titan. He comes under attack by the Titans and is cornered. Shikishima comes to his aid. The titans never stops attacking.  Eren is now injured and tries to protect Armin, but is swallowed by a titan. A Titan with black hair appears and begins to expel the other titans.",6.0
Friday the 13th,['Horror'],A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.,5.7
Virgin Territory,"['Adventure', 'Action', 'Comedy', 'Romance']","The film is set in Tuscany during the Black Death. As in the Decameron, ten young Florentines take refuge from the plague. But instead of telling stories, they have lusty adventures, bawdy exchanges, romance and swordplay. There are randy nuns, Saracen pirates, and a sexy cow.",4.5
White House Down,"['Action', 'Drama', 'Thriller']","Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country.",6.4
The Second Wife,"['Comedy', 'Romance']","In the early 1960's, a Sicilian single mother marries an older, crass widowed truck driver. When he is arrested trying to smuggle an antique, she ends up falling in love with her handsome stepson.",5.3
Total Recall,"['Action', 'Science Fiction', 'Thriller']","Factory worker Doug Quaid takes a virtual mind-trip vacation with the Rekall company, opting for implanted memories of being a spy. When the procedure goes wrong, Quaid becomes a wanted man by the police and joins forces with a rebel fighter to stop the evil Chancellor Cohaagen.",6.0
"As Above, So Below","['Horror', 'Thriller']","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.",6.7
Bloodshot,"['Action', 'Science Fiction', 'Adventure']","After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",6.8
Teenage Mutant Ninja Turtles: Out of the Shadows,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']","After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",6.0
Beyond the Universe,"['Romance', 'Drama']","While waiting for a kidney transplant, a young pianist finds an unexpected connection with her doctor — and the courage to fulfill her musical dreams.",8.0
Death Race,"['Action', 'Thriller', 'Science Fiction']","Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.",6.2
Call of the Blonde Goddess,"['Crime', 'Drama']","Susan arrives in Haiti to live with her husband Jack, who lives with a lesbian housekeeper and Olga, a nymphomaniac platinum blonde, introduced to her as Jack's sister. Susan begins to have nightmares about voodoo ceremonies and murder.",4.8
Hang 'em High,['Western'],"Marshall Jed Cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. To carry out his oath for vengeance, he returns to his former job as a lawman. Before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of Wild West justice.",6.8
Godzilla,"['Science Fiction', 'Action', 'Thriller']","French nuclear tests irradiate an iguana into a giant monster that viciously attacks freighter ships in the Pacific Ocean. A team of experts, including Niko Tatopoulos, conclude that the oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan as the US military races to destroy the monster before it reproduces and it's spawn takes over the world.",5.6
Nausicaä of the Valley of the Wind,"['Adventure', 'Animation', 'Fantasy']","After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",7.9
Yu-Gi-Oh!: Bonds Beyond Time,"['Animation', 'Fantasy']","After falling through a time-slip, Yusei Fudo (who has just had his powerful card stolen by a mysterious stranger) meets with Jaden Yuki and Yugi Muto, who agree to help Yusei defeat the evil Paradox, who is planning to destroy Pegasus before he can invent Duel Monsters.",6.0
Ice Age: Collision Course,"['Adventure', 'Animation', 'Family', 'Comedy', 'Science Fiction']","Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and locations.",6.1
Rio Bravo,['Western'],"The sheriff of a small town in southwest Texas must keep custody of a murderer whose brother, a powerful rancher, is trying to help him escape. After a friend is killed trying to muster support for him, he and his deputies must find a way to hold out against the rancher's hired guns until the marshal arrives. In the meantime, matters are complicated by the presence of a young gunslinger - and a mysterious beauty who just came in on the last stagecoach.",7.9
Tomb Raider,"['Action', 'Adventure', 'Fantasy']","Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared.",6.4
One Day,"['Drama', 'Romance']","A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",7.4
Zero Woman R,"['Drama', 'Action']",A mysterious female spy is recruited to infiltrate the Japanese underworld and gather evidence for a clandestine secretive branch of the Tokyo Police Department.,7.1
Shin Ultraman,"['Drama', 'Action', 'Science Fiction']","The Japanese government sets up a special task force to fight the giant creatures suddenly appearing across the country. Soon, the squad unexpectedly meets a giant silver humanoid who starts appearing every time a space monster attacks!",7.2
The Exorcism of Emily Rose,"['Crime', 'Drama', 'Horror', 'Thriller']","When a younger girl called Emily Rose dies, everyone puts blame on the exorcism which was performed on her by Father Moore prior to her death. The priest is arrested on suspicion of murder. The trial begins with lawyer Erin Bruner representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true.",6.5
Transporter 3,"['Action', 'Adventure', 'Thriller', 'Crime']","Frank Martin puts the driving gloves on to deliver Valentina, the kidnapped daughter of a Ukranian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery and not let his personal feelings get in the way of his dangerous objective.",6.1
Home Sweet Home Alone,"['Comedy', 'Crime', 'Family']","After being left at home by himself for the holidays, 10-year-old Max Mercer must work to defend his home from a married couple who tries to steal back a valuable heirloom.",5.0
xXx: State of the Union,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",Darius Stone's criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert.,5.0
Blood Diamond,"['Drama', 'Thriller', 'Action']","An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",7.5
Perfume: The Story of a Murderer,"['Crime', 'Fantasy', 'Drama']","Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",7.3
Jack and Jill,['Comedy'],"Jack Sadelstein, a successful advertising executive in Los Angeles with a beautiful wife and kids, dreads one event each year: the Thanksgiving visit of his twin sister Jill. Jill's neediness and passive-aggressiveness is maddening to Jack, turning his normally tranquil life upside down.",4.3
Dragon Ball Z: The History of Trunks,"['Animation', 'Action', 'Science Fiction']",It has been thirteen years since the Androids began their killing rampage and Son Gohan is the only person fighting back. He takes Bulma's son Trunks as a student and even gives his own life to save Trunks's. Now Trunks must figure out a way to change this apocalyptic future,7.5
Tubero,['Drama'],"A boring woman worries that her man would leave her, so she hires a plumber with ""extra service"". As she falls for him, she's torn between her boyfriend and her new found love.",5.8
Elysium,"['Science Fiction', 'Action', 'Drama', 'Thriller']","In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes, a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.",6.5
Do Revenge,['Comedy'],A dethroned queen bee at a posh private high school strikes a secret deal with an unassuming new student to enact revenge on one another’s enemies.,6.4
An American Werewolf in London,"['Horror', 'Comedy']",Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.,7.4
The Prince of Egypt,"['Adventure', 'Animation', 'Drama', 'Family']","This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",7.2
The Ten Commandments: The Movie,['Drama'],Follows Moses leading and conducting the Hebrew people from the slavery of Egypt to the freedom towards the Promised Land according to the Ancient Testament Bible book of the Exodus. The story told like never before is faithful to the Scriptures.,7.2
Silver Linings Playbook,"['Drama', 'Comedy', 'Romance']","After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife.",7.1
The Cabin in the Woods,"['Horror', 'Fantasy']","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",6.6
The Loud House Movie,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']",The Loud family travel to Scotland and discover they are descendants of Scottish royalty as they move into their giant ancestral castle.,7.4
The Outfit,['Crime'],"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",7.1
Malignant,"['Horror', 'Mystery', 'Thriller']","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",6.9
Stonehearst Asylum,"['Thriller', 'Mystery', 'Horror']","A Harvard Medical School graduate takes a position at a mental institution and soon becomes obsessed with a female mental patient, but he has no idea of a recent and horrifying staffing change.",6.9
The Marvels,"['Action', 'Adventure', 'Science Fiction']","Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",0.0
Bird Box,"['Thriller', 'Drama', 'Science Fiction']","Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",6.9
Loose Women 2,[],,0.0
V for Vendetta,"['Action', 'Thriller', 'Science Fiction']","In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",7.9
Spectre,"['Action', 'Adventure', 'Thriller']","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",6.5
Conan the Barbarian,"['Adventure', 'Fantasy', 'Action']","A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",6.8
The Possession of Hannah Grace,"['Horror', 'Drama']","When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue, she faces a series of bizarre, violent events caused by an evil entity in one of the corpses.",5.6
Dead for a Dollar,"['Western', 'Thriller']","In 1897, veteran bounty hunter Max Borlund is deep into Mexico where he encounters professional gambler and outlaw Joe Cribbens — a sworn enemy he sent to prison years before. Max is on a mission to find and return Rachel Kidd, the wife of a wealthy businessman, who as the story is told to Max, has been abducted by Buffalo Soldier Elijah Jones. Max is ultimately faced with a showdown to save honor.",5.7
Jumper,"['Action', 'Adventure', 'Science Fiction']","David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival!",6.1
The Stranger by the Shore,"['Animation', 'Romance', 'Drama']","Abandoned after coming out, Shun befriends Mio just before he has to move. Years later, Mio returns with a confession. How will Shun feel?",7.6
Dumbo,"['Animation', 'Family']","Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.",7.0
What to Expect When You're Expecting,"['Romance', 'Comedy', 'Drama']","Challenges of impending parenthood turn the lives of five couples upside down. Two celebrities are unprepared for the surprise demands of pregnancy; hormones wreak havoc on a baby-crazy author, while her husband tries not to be outdone by his father, who's expecting twins with his young trophy wife; a photographer's husband isn't sure about his wife's adoption plans; a one-time hook-up results in a surprise pregnancy for rival food-truck owners.",6.0
The Green Hornet,"['Action', 'Crime', 'Comedy']","Britt Reid, the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father dies, Britt meets Kato, a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky.",5.6
The Protector,"['Action', 'Crime', 'Drama', 'Thriller']","In Bangkok, the young Kham was raised by his father in the jungle with elephants as members of their family. When his old elephant and the baby Kern are stolen by criminals, Kham finds that the animals were sent to Sidney. He travels to Australia, where he locates the baby elephant in a restaurant owned by the evil Madame Rose, the leader of an international Thai mafia. With the support of the efficient Thai sergeant Mark, who was involved in a conspiracy, Kham fights to rescue the animal from the mobsters.",7.1
Ava,['Drama'],"Ava, 13, is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...",6.2
Sherlock Holmes: A Game of Shadows,"['Adventure', 'Action', 'Crime', 'Mystery']","There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",7.1
Groot's Pursuit,"['Animation', 'Family', 'Comedy', 'Science Fiction']","Groot investigates a spooky noise that’s been haunting the Quadrant, which leads to an intense dance off.",7.2
Crawl,"['Thriller', 'Horror', 'Action']","When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time to escape the storm, they discover that rising water levels are the least of their problems.",6.3
Blue Lagoon: The Awakening,"['Drama', 'Adventure', 'Romance', 'TV Movie']",Two high school students become stranded on a tropical island and must rely on each other for survival. They learn more about themselves and each other while falling in love.,6.5
Choose or Die,"['Horror', 'Thriller', 'Science Fiction']","In pursuit of an unclaimed $125,000 prize, a broke college dropout decides to play an obscure, 1980s survival computer game. But the game curses her, and she’s faced with dangerous choices and reality-warping challenges. After a series of unexpectedly terrifying moments, she realizes she’s no longer playing for the money but for her life.",5.4
The Transporter Refueled,"['Action', 'Thriller', 'Crime']","The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frank’s father.",5.5
Red Sparrow,"['Mystery', 'Thriller']","Prima ballerina, Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust.",6.5
The Matrix Revolutions,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,6.7
Ghostbusters,"['Action', 'Fantasy', 'Comedy']","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",5.4
Machete,"['Action', 'Comedy', 'Thriller']","After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",6.3
Ghostland,"['Horror', 'Mystery', 'Thriller']","A mother of two inherits a home from her aunt. On the first night in the new home she is confronted with murderous intruders and fights for her daughters’ lives. Sixteen years later the daughters reunite at the house, and that is when things get strange . . .",7.4
Master and Commander: The Far Side of the World,"['Adventure', 'Drama', 'War']","After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.",7.1
Cobra,"['Action', 'Crime', 'Thriller']",A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far reaching plans.,6.1
Spy Kids,"['Action', 'Comedy', 'Family', 'Adventure']","Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life to raise their children. Now, the disappearances of several of their old colleagues forces the Cortez' return from retirement. What they didn't count on was Carmen and Juni joining the ""family business.""",5.8
Die Hard: With a Vengeance,"['Action', 'Thriller']","New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",7.2
Inuyasha the Movie: Affections Touching Across Time,"['Action', 'Animation', 'Adventure', 'Fantasy']","InuYasha is a half-demon who was trapped in the Legendary Tree and was set free by Kagome, a girl who traveled 500 years through time. This time, both of them will have to face Menomaru, a Chinese demon whose father, known as Hyoga, came 300 years ago to invade Japan, but was stopped by InuYasha's Father. InuYasha and Kagome, along with Sango, Miroku, Shippou, Kaede and Myoga, will try to stop Menomaru in his becoming the most powerful demon ever.",7.7
Day of the Woman,"['Horror', 'Thriller']","After a young writer is brutally gang-raped and left for dead by four men, she systematically hunts them down one by one to exact a terrible vengeance.",5.9
Fantastic Mr. Fox,"['Adventure', 'Animation', 'Comedy', 'Family']","The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",7.8
The Hitman's Bodyguard,"['Action', 'Comedy']","The world’s top bodyguard gets a new client, a hitman who must testify at the International Court of Justice. They must put their differences aside and work together to make it to the trial on time.",6.9
Hachi: A Dog's Tale,"['Drama', 'Family']",A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,8.0
Chickenhare and the Hamster of Darkness,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']","Young Chickenhare is the adopted son of King Peter, a famous adventurer. Part chicken and part hare, he has a really tough time growing up and disguises himself as a hare to avoid the mockeries of his peers. When the day of the Royal Adventurer Society trials comes, Chickenhare, hampered by his disguise, fails miserably. But he is determined to grab a second chance and find the Scepter of the Hamster of Darkness, before his evil Uncle Lapin. The Scepter will give immense power to its holder. If Lapin gets hold of it, he will be unstoppable. Accompanied by his faithful servant Abe, a sarcastic turtle, and Meg, a martial arts expert skunk, he sets of on an epic and initiatory quest.",7.5
Thinking XXX,['Documentary'],"For a book project, photographer Timothy Greenfield-Sanders took photographs of 30 stars of adult movies, each pair of photographs in the same pose, clothed and nude. This film records the photo shoots and includes interviews with the performers and commentary from eight writers (and John Waters). The actors and writers discuss economics, nudity and exhibitionism, careers, and private lives.",5.4
The Interview,"['Action', 'Comedy']","Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",6.2
9,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Thriller']","When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good.",6.9
Animal Kingdom: Let's Go Ape,"['Adventure', 'Comedy', 'Animation']","Based on the novel 'Evolution Man' by Roy Lewis, this tells the story about the first man - young Edward - to descend from apes. Edward is ejected by his tribe, but is very resourceful. He learns to walk, discovers fire, manages to hunt - and we follow him as he evolves. He has a generous nature, and search for true humanity - a world where we don't eat our fathers.",5.2
Tinker Bell and the Lost Treasure,"['Animation', 'Family', 'Adventure', 'Fantasy']","A blue harvest moon will rise, allowing the fairies to use a precious moonstone to restore the Pixie Dust Tree, the source of all their magic. But when Tinker Bell accidentally puts all of Pixie Hollow in jeopardy, she must venture out across the sea on a secret quest to set things right.",6.8
Monkey King: Hero Is Back,"['Fantasy', 'Animation', 'Comedy']","The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",6.9
The Greatest Showman,['Drama'],"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",7.9
Happy Feet Two,"['Animation', 'Comedy', 'Family']","Mumble the penguin has a problem: his son Erik, who is reluctant to dance, encounters The Mighty Sven, a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces, causing him to brings together the penguin nations and their allies to set things right.",6.1
King Shakir Recycle,"['Animation', 'Adventure', 'Family', 'Action', 'Comedy', 'Science Fiction']","Scientists trying to solve the environmental crisis of pollution devise a way to send the collected garbage into space via rocket ships. When this garbage starts to land on alien planets, the outraged aliens head to Earth for revenge. King Shakir and his family must do their best to protect the world from alien destruction.",5.8
Terra Formars,"['Action', 'Horror', 'Science Fiction']","With the space program attempting to travel to Mars, 21st century scientists were tasked with warming up the planet so that humans could survive on its surface. They came up with an efficient and cost effective plan of sending cockroaches and mold to the surface so that the mold would absorb the sunlight and the insect corpses would serve as a food source for the mold.  It is now the year 2577 and the first manned ship to Mars has landed on the planet and the six crew members are ready for their mission. But what they find are giant mutated humanoid cockroaches with incredible physical strength. The crew members are easily wiped out, but not before sending a transmission back to Earth. Now, humanity will send elite warriors to exterminate the mutated bugs and claim back Mars.",6.1
Escape Room,"['Horror', 'Thriller', 'Mystery']","Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.",6.5
The Guardian Brothers,"['Animation', 'Family', 'Fantasy']","There's a crisis in the Chinese Spirit World -- humans don't believe in gods anymore! A Door God, facing unemployment, ventures into the human world to prove his worth, leading to unexpected encounters and transformations for humans and spirits alike.",5.8
Porco Rosso,"['Family', 'Comedy', 'Animation', 'Adventure']","In Italy in the 1930s, sky pirates in biplanes terrorize wealthy cruise ships as they sail the Adriatic Sea. The only pilot brave enough to stop the scourge is the mysterious Porco Rosso, a former World War I flying ace who was somehow turned into a pig during the war. As he prepares to battle the pirate crew's American ace, Porco Rosso enlists the help of spunky girl mechanic Fio Piccolo and his longtime friend Madame Gina.",7.8
Over the Moon,"['Animation', 'Adventure', 'Family', 'Fantasy']","In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",7.2
It's a Wonderful Life,"['Drama', 'Family', 'Fantasy']","A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",8.3
Sinister,"['Horror', 'Thriller', 'Mystery']","True-crime writer Ellison Oswald is in a slump; he hasn't had a best seller in more than 10 years and is becoming increasingly desperate for a hit. So, when he discovers the existence of a snuff film showing the deaths of a family, he vows to solve the mystery. He moves his own family into the victims' home and gets to work. However, when old film footage and other clues hint at the presence of a supernatural force, Ellison learns that living in the house may be fatal.",6.9
The Smurfs 2,"['Fantasy', 'Family', 'Comedy', 'Animation']","The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?",5.8
Rush,"['Drama', 'Action']",A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,7.7
The Twin,"['Horror', 'Mystery']","Every parent's worst nightmare is just the beginning for Rachel's ordeal as in the aftermath of a tragic accident, she and her husband Anthony decide to move to the other side of the world to focus on their surviving twin son Elliot.  What begins as a time of healing and isolation in the Finnish countryside turns into a desperate battle for the very soul of their son as an entity claiming to be his dead twin brother takes over Elliot — setting Rachel on a diabolical journey to unravel the horrible truth about her twin son.",6.0
Rocky V,['Drama'],"A lifetime of taking shots has ended Rocky’s career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",5.8
